domain,file_name,rows,ingested_at
university,courses.csv,300,2026-07-20T01:48:12.469575+00:00
university,enrollments.csv,25000,2026-07-20T01:48:12.685101+00:00
university,grades.csv,60000,2026-07-20T01:48:13.060089+00:00
university,professors.csv,200,2026-07-20T01:48:13.171486+00:00
university,semesters.csv,8,2026-07-20T01:48:13.275985+00:00
university,students.csv,5000,2026-07-20T01:48:13.417678+00:00
billing,customers.csv,10000,2026-07-20T01:48:13.610759+00:00
billing,invoice_items.csv,150000,2026-07-20T01:48:14.388404+00:00
billing,invoices.csv,50000,2026-07-20T01:48:14.715395+00:00
billing,payments.csv,80000,2026-07-20T01:48:15.100913+00:00
billing,products.csv,200,2026-07-20T01:48:15.202318+00:00
billing,subscriptions.csv,15000,2026-07-20T01:48:15.367163+00:00
crm,accounts.csv,5000,2026-07-20T01:48:15.513485+00:00
crm,activities.csv,20000,2026-07-20T01:48:15.711406+00:00
crm,contacts.csv,15000,2026-07-20T01:48:15.928837+00:00
crm,leads.csv,2000,2026-07-20T01:48:16.064434+00:00
crm,opportunities.csv,3000,2026-07-20T01:48:16.192317+00:00
crm,opportunity_contacts.csv,6000,2026-07-20T01:48:16.298710+00:00
university,courses.csv,300,2026-07-21T03:25:43.087954+00:00
university,enrollments.csv,25000,2026-07-21T03:25:43.313503+00:00
university,grades.csv,60000,2026-07-21T03:25:43.698275+00:00
university,professors.csv,200,2026-07-21T03:25:43.821067+00:00
university,semesters.csv,8,2026-07-21T03:25:43.922785+00:00
university,students.csv,5000,2026-07-21T03:25:44.084078+00:00
billing,customers.csv,10000,2026-07-21T03:25:44.290929+00:00
billing,invoice_items.csv,150000,2026-07-21T03:25:45.113943+00:00
billing,invoices.csv,50000,2026-07-21T03:25:45.479232+00:00
billing,payments.csv,80000,2026-07-21T03:25:45.915348+00:00
billing,products.csv,200,2026-07-21T03:25:46.045193+00:00
billing,subscriptions.csv,15000,2026-07-21T03:25:46.214968+00:00
crm,accounts.csv,5000,2026-07-21T03:25:46.368419+00:00
crm,activities.csv,20000,2026-07-21T03:25:46.572940+00:00
crm,contacts.csv,15000,2026-07-21T03:25:46.798512+00:00
crm,leads.csv,2000,2026-07-21T03:25:46.948454+00:00
crm,opportunities.csv,3000,2026-07-21T03:25:47.085647+00:00
crm,opportunity_contacts.csv,6000,2026-07-21T03:25:47.213971+00:00
