invoice_item_id,quantity,unit_price,line_total,invoice_id,product_id
INI-000000001,7,64.65,452.55000000000007,INV-00029386,PRD-00117
INI-000000002,1,20.39,20.39,INV-00045051,PRD-00142
INI-000000003,7,36.59,256.13,INV-00029813,PRD-00117
INI-000000004,8,49.38,395.04,INV-00032937,PRD-00110
INI-000000005,3,24.91,74.73,INV-00032440,PRD-00140
INI-000000006,9,44.54,400.86,INV-00019236,PRD-00186
INI-000000007,3,90.27,270.81,INV-00024751,PRD-00006
INI-000000008,10,39.65,396.5,INV-00024620,PRD-00069
INI-000000009,4,9.64,38.56,INV-00000186,PRD-00096
INI-000000010,8,5.24,41.92,INV-00041990,PRD-00115
INI-000000011,9,59.88,538.9200000000001,INV-00038311,PRD-00158
INI-000000012,7,17.66,123.62,INV-00042048,PRD-00078
INI-000000013,5,16.35,81.75,INV-00000661,PRD-00179
INI-000000014,2,22.24,44.48,INV-00041066,PRD-00106
INI-000000015,8,12.84,102.72,INV-00018643,PRD-00113
INI-000000016,1,62.68,62.68,INV-00000854,PRD-00145
INI-000000017,4,12.96,51.84,INV-00015890,PRD-00086
INI-000000018,10,41.65,416.5,INV-00047863,PRD-00185
INI-000000019,10,30.9,309.0,INV-00044199,PRD-00139
INI-000000020,3,8.98,26.94,INV-00041039,PRD-00070
INI-000000021,3,31.45,94.35,INV-00042313,PRD-00159
INI-000000022,7,57.38,401.66,INV-00021350,PRD-00098
INI-000000023,9,39.62,356.58,INV-00036593,PRD-00106
INI-000000024,8,46.91,375.28,INV-00022802,PRD-00002
INI-000000025,7,100.02,700.14,INV-00029931,PRD-00043
INI-000000026,5,79.55,397.75,INV-00025119,PRD-00195
INI-000000027,3,42.87,128.60999999999999,INV-00004798,PRD-00035
INI-000000028,7,61.65,431.55,INV-00002772,PRD-00093
INI-000000029,6,15.29,91.74,INV-00019414,PRD-00082
INI-000000030,6,10.05,60.300000000000004,INV-00010455,PRD-00174
INI-000000031,9,10.12,91.08,INV-00019314,PRD-00181
INI-000000032,4,17.96,71.84,INV-00045284,PRD-00015
INI-000000033,4,25.53,102.12,INV-00028852,PRD-00029
INI-000000034,9,29.39,264.51,INV-00021513,PRD-00134
INI-000000035,2,42.64,85.28,INV-00026461,PRD-00109
INI-000000036,5,26.29,131.45,INV-00030061,PRD-00020
INI-000000037,10,20.61,206.1,INV-00022322,PRD-00090
INI-000000038,10,21.93,219.3,INV-00024998,PRD-00196
INI-000000039,4,24.67,98.68,INV-00013771,PRD-00044
INI-000000040,2,29.53,59.06,INV-00019120,PRD-00007
INI-000000041,4,52.53,210.12,INV-00011067,PRD-00058
INI-000000042,8,39.86,318.88,INV-00002521,PRD-00031
INI-000000043,1,50.28,50.28,INV-00013381,PRD-00077
INI-000000044,4,29.4,117.6,INV-00038365,PRD-00138
INI-000000045,1,110.42,110.42,INV-00043576,PRD-00074
INI-000000046,1,32.22,32.22,INV-00049647,PRD-00085
INI-000000047,7,25.49,178.42999999999998,INV-00009534,PRD-00022
INI-000000048,10,35.79,357.9,INV-00005790,PRD-00102
INI-000000049,8,18.53,148.24,INV-00035702,PRD-00129
