invoice_id,issued_at,due_at,total,status,currency,customer_id
INV-00000001,2025-08-18,2025-09-05,107.64,paid,CLP,CUS-0000003
INV-00000002,2024-05-14,2024-06-04,70.06,paid,EUR,CUS-0000281
INV-00000003,2025-07-23,2025-08-31,35.12,paid,PEN,CUS-0001990
INV-00000004,2023-06-09,2023-06-18,16.19,paid,COP,CUS-0006989
INV-00000005,2023-07-18,2023-09-01,27.62,paid,EUR,CUS-0000366
INV-00000006,2024-04-23,2024-06-21,127.53,paid,COP,CUS-0005724
INV-00000007,2024-09-02,2024-10-20,33.82,overdue,USD,CUS-0006314
INV-00000008,2024-09-11,2024-10-07,353.11,paid,MXN,CUS-0005980
INV-00000009,2022-01-18,2022-02-15,47.66,paid,EUR,CUS-0004224
INV-00000010,2023-09-20,2023-11-02,84.52,paid,CLP,CUS-0000194
INV-00000011,2024-03-06,2024-04-22,28.4,paid,PEN,CUS-0002331
INV-00000012,2024-08-21,2024-09-09,63.02,paid,USD,CUS-0009998
INV-00000013,2024-09-06,2024-09-28,44.19,paid,CLP,CUS-0002549
INV-00000014,2024-08-26,2024-09-13,28.24,paid,CLP,CUS-0004466
INV-00000015,2022-02-05,2022-02-14,46.16,overdue,EUR,CUS-0006056
INV-00000016,2023-08-30,2023-10-08,184.53,paid,USD,CUS-0001764
INV-00000017,2022-09-21,2022-10-20,59.06,paid,USD,CUS-0006597
INV-00000018,2023-01-02,2023-02-18,49.52,paid,USD,CUS-0003939
INV-00000019,2025-03-20,2025-05-05,25.91,paid,EUR,CUS-0007947
INV-00000020,2023-02-18,2023-04-15,170.34,paid,USD,CUS-0002509
INV-00000021,2023-09-28,2023-11-14,44.07,paid,USD,CUS-0009488
INV-00000022,2025-09-27,2025-11-18,172.44,paid,MXN,CUS-0005598
INV-00000023,2025-02-27,2025-03-06,63.85,paid,USD,CUS-0003919
INV-00000024,2024-06-04,2024-06-15,13.42,paid,EUR,CUS-0009370
INV-00000025,2022-08-07,2022-09-13,42.41,paid,CLP,CUS-0008715
INV-00000026,2023-04-29,2023-06-02,103.58,paid,MXN,CUS-0003551
INV-00000027,2022-10-30,2022-12-23,173.41,paid,CLP,CUS-0009624
INV-00000028,2025-06-10,2025-07-04,58.84,overdue,COP,CUS-0005030
INV-00000029,2022-04-01,2022-05-25,39.41,paid,USD,CUS-0008695
INV-00000030,2022-06-12,2022-07-12,131.43,paid,CLP,CUS-0009733
INV-00000031,2022-11-27,2023-01-13,107.81,paid,EUR,CUS-0002659
INV-00000032,2024-05-28,2024-06-16,756.9,paid,CLP,CUS-0003630
INV-00000033,2024-07-16,2024-08-08,38.18,pending,USD,CUS-0005210
INV-00000034,2022-07-12,2022-08-29,126.01,paid,USD,CUS-0005386
INV-00000035,2022-01-11,2022-02-27,33.75,paid,MXN,CUS-0005925
INV-00000036,2024-03-21,2024-04-28,143.28,pending,USD,CUS-0009220
INV-00000037,2023-10-11,2023-11-29,108.81,overdue,USD,CUS-0004420
INV-00000038,2023-03-20,2023-05-09,77.18,pending,CLP,CUS-0007978
INV-00000039,2025-08-05,2025-09-25,118.41,pending,PEN,CUS-0004060
INV-00000040,2023-06-06,2023-07-27,54.87,pending,USD,CUS-0007033
INV-00000041,2023-09-25,2023-10-20,199.59,pending,EUR,CUS-0008248
INV-00000042,2024-04-03,2024-05-12,70.73,paid,EUR,CUS-0008870
INV-00000043,2023-08-01,2023-09-26,54.21,paid,USD,CUS-0003260
INV-00000044,2022-11-19,2022-12-02,56.45,pending,COP,CUS-0001609
INV-00000045,2024-11-11,2024-11-20,38.4,paid,COP,CUS-0008851
INV-00000046,2023-02-20,2023-04-07,84.95,overdue,CLP,CUS-0004939
INV-00000047,2024-12-23,2025-01-03,23.6,paid,CLP,CUS-0008525
INV-00000048,2024-06-25,2024-07-28,10.57,paid,CLP,CUS-0007369
INV-00000049,2025-12-23,2026-01-13,104.47,paid,EUR,CUS-0000171
INV-00000050,2025-10-11,2025-11-14,116.86,pending,USD,CUS-0003660
INV-00000051,2025-07-08,2025-07-26,275.18,overdue,PEN,CUS-0008376
INV-00000052,2025-02-08,2025-03-09,36.74,paid,MXN,CUS-0001453
INV-00000053,2025-01-19,2025-02-18,65.04,paid,PEN,CUS-0009698
INV-00000054,2023-07-15,2023-09-01,126.87,paid,EUR,CUS-0001735
INV-00000055,2025-03-11,2025-04-27,730.39,paid,CLP,CUS-0009364
INV-00000056,2024-12-08,2024-12-20,220.09,overdue,CLP,CUS-0008284
INV-00000057,2022-02-11,2022-03-02,43.68,paid,CLP,CUS-0001695
INV-00000058,2024-04-18,2024-05-24,69.3,paid,MXN,CUS-0007631
INV-00000059,2024-03-17,2024-04-03,12.2,pending,USD,CUS-0004380
INV-00000060,2025-02-13,2025-03-20,308.57,paid,USD,CUS-0003725
INV-00000061,2024-04-29,2024-06-04,252.79,paid,PEN,CUS-0003100
INV-00000062,2023-04-17,2023-05-25,46.98,overdue,ARS,CUS-0002960
INV-00000063,2025-03-26,2025-05-02,7.36,paid,COP,CUS-0008084
INV-00000064,2023-02-26,2023-04-14,86.53,overdue,EUR,CUS-0003737
INV-00000065,2022-05-09,2022-06-28,43.42,paid,CLP,CUS-0005379
INV-00000066,2025-05-23,2025-07-16,1050.68,paid,CLP,CUS-0002919
INV-00000067,2024-05-31,2024-06-10,1014.1,paid,CLP,CUS-0002738
INV-00000068,2022-09-03,2022-09-13,47.6,paid,PEN,CUS-0003532
INV-00000069,2025-06-16,2025-08-03,98.55,paid,CLP,CUS-0006194
INV-00000070,2023-01-24,2023-02-17,249.6,paid,CLP,CUS-0007739
INV-00000071,2024-11-18,2024-12-07,70.08,paid,PEN,CUS-0008719
INV-00000072,2023-01-17,2023-02-12,47.61,pending,USD,CUS-0002249
INV-00000073,2024-04-23,2024-05-20,121.94,paid,EUR,CUS-0007644
INV-00000074,2022-06-25,2022-07-17,223.59,paid,MXN,CUS-0002535
INV-00000075,2025-06-10,2025-07-22,371.96,paid,CLP,CUS-0003837
INV-00000076,2022-04-22,2022-06-02,157.91,paid,EUR,CUS-0004537
INV-00000077,2023-08-21,2023-10-02,431.48,paid,EUR,CUS-0002276
INV-00000078,2024-06-21,2024-08-17,105.1,paid,USD,CUS-0005955
INV-00000079,2024-12-28,2025-02-15,35.02,paid,USD,CUS-0006195
INV-00000080,2022-10-27,2022-12-18,77.21,pending,PEN,CUS-0005862
INV-00000081,2022-06-27,2022-07-09,21.7,paid,EUR,CUS-0007031
INV-00000082,2022-07-16,2022-09-04,332.04,paid,CLP,CUS-0006119
INV-00000083,2023-08-22,2023-09-29,81.57,overdue,USD,CUS-0000433
INV-00000084,2025-06-07,2025-07-01,46.16,paid,CLP,CUS-0002173
INV-00000085,2024-09-03,2024-10-11,108.66,overdue,CLP,CUS-0002681
INV-00000086,2024-10-18,2024-11-29,250.01,paid,BRL,CUS-0009940
INV-00000087,2022-08-19,2022-09-15,480.9,paid,CLP,CUS-0001359
INV-00000088,2023-10-21,2023-11-21,69.41,pending,ARS,CUS-0001622
INV-00000089,2023-07-16,2023-08-19,204.78,paid,ARS,CUS-0005356
INV-00000090,2025-04-27,2025-06-23,33.47,paid,CLP,CUS-0009345
INV-00000091,2022-04-23,2022-06-18,128.64,paid,CLP,CUS-0008851
INV-00000092,2025-03-16,2025-04-17,196.19,pending,USD,CUS-0009538
INV-00000093,2023-05-05,2023-05-17,38.82,paid,ARS,CUS-0000789
INV-00000094,2023-04-20,2023-06-15,329.06,paid,MXN,CUS-0009853
INV-00000095,2025-12-03,2026-01-31,13.63,paid,COP,CUS-0004315
INV-00000096,2022-01-10,2022-01-31,120.3,paid,CLP,CUS-0002043
INV-00000097,2022-01-12,2022-01-30,84.97,overdue,COP,CUS-0005321
INV-00000098,2024-05-22,2024-05-31,172.73,pending,USD,CUS-0006864
INV-00000099,2025-09-29,2025-11-10,133.49,paid,USD,CUS-0000082
INV-00000100,2023-10-03,2023-11-29,109.67,paid,COP,CUS-0008616
INV-00000101,2022-06-13,2022-07-10,35.29,paid,BRL,CUS-0009144
INV-00000102,2023-09-08,2023-10-01,111.06,paid,ARS,CUS-0004035
INV-00000103,2023-06-20,2023-08-07,115.12,paid,CLP,CUS-0000436
INV-00000104,2024-02-09,2024-04-05,177.12,paid,USD,CUS-0002020
INV-00000105,2023-10-29,2023-12-06,371.27,paid,USD,CUS-0001132
INV-00000106,2024-10-16,2024-11-13,18.05,overdue,USD,CUS-0003134
