payment_id,amount,paid_at,method,invoice_id
PAY-00000001,87.44,2023-11-15,card,INV-00011046
PAY-00000002,22.74,2025-09-20,card,INV-00031283
PAY-00000003,55.13,2022-11-11,card,INV-00033793
PAY-00000004,42.48,2023-09-21,card,INV-00037256
PAY-00000005,359.2,2025-05-24,card,INV-00006722
PAY-00000006,51.57,2022-09-11,bank_transfer,INV-00001702
PAY-00000007,20.47,2024-06-22,cash,INV-00002654
PAY-00000008,3.74,2024-02-15,bank_transfer,INV-00033160
PAY-00000009,59.88,2024-06-17,card,INV-00010182
PAY-00000010,74.18,2024-03-11,bank_transfer,INV-00037914
PAY-00000011,47.78,2025-05-01,card,INV-00036837
PAY-00000012,153.24,2023-01-24,cash,INV-00027969
PAY-00000013,117.45,2023-10-27,card,INV-00032060
PAY-00000014,3.8,2022-08-06,card,INV-00018174
PAY-00000015,45.21,2024-02-05,bank_transfer,INV-00048426
PAY-00000016,46.0,2022-10-25,card,INV-00014344
PAY-00000017,22.15,2022-12-16,bank_transfer,INV-00016124
PAY-00000018,507.71,2024-02-23,card,INV-00028208
PAY-00000019,52.46,2023-02-13,card,INV-00002726
PAY-00000020,99.73,2025-09-14,card,INV-00015816
PAY-00000021,30.93,2024-09-09,card,INV-00034323
PAY-00000022,96.24,2023-06-01,paypal,INV-00020646
PAY-00000023,47.05,2022-03-25,card,INV-00022085
PAY-00000024,90.46,2022-03-22,bank_transfer,INV-00046390
PAY-00000025,21.56,2023-07-13,card,INV-00044928
PAY-00000026,37.64,2024-03-09,card,INV-00033769
PAY-00000027,14.13,2025-03-05,paypal,INV-00041956
PAY-00000028,90.92,2023-05-22,card,INV-00005116
PAY-00000029,42.74,2023-03-04,bank_transfer,INV-00031001
PAY-00000030,101.5,2022-09-29,bank_transfer,INV-00001381
PAY-00000031,38.85,2022-11-06,card,INV-00047451
PAY-00000032,36.6,2024-12-14,bank_transfer,INV-00013883
PAY-00000033,77.03,2024-03-10,card,INV-00024712
PAY-00000034,50.55,2024-04-12,bank_transfer,INV-00030421
PAY-00000035,437.65,2025-01-21,card,INV-00008317
PAY-00000036,2.77,2023-09-26,card,INV-00041607
PAY-00000037,93.42,2025-09-10,card,INV-00003230
PAY-00000038,247.15,2022-02-23,bank_transfer,INV-00008136
PAY-00000039,15.3,2024-01-22,bank_transfer,INV-00036362
PAY-00000040,90.11,2025-11-22,card,INV-00006329
PAY-00000041,74.35,2025-09-21,card,INV-00022258
PAY-00000042,38.32,2022-07-15,bank_transfer,INV-00018194
PAY-00000043,15.94,2023-03-22,bank_transfer,INV-00020306
PAY-00000044,21.21,2025-12-31,bank_transfer,INV-00038596
PAY-00000045,70.84,2024-10-25,card,INV-00028928
PAY-00000046,46.95,2024-10-04,paypal,INV-00014619
PAY-00000047,8.22,2023-03-26,paypal,INV-00032157
PAY-00000048,140.41,2025-01-12,paypal,INV-00027295
PAY-00000049,22.27,2024-07-14,card,INV-00024185
PAY-00000050,6.0,2025-09-17,card,INV-00039692
PAY-00000051,146.05,2022-02-28,card,INV-00049947
PAY-00000052,212.7,2025-10-08,card,INV-00046278
PAY-00000053,116.53,2024-07-26,card,INV-00003030
PAY-00000054,153.43,2024-07-15,bank_transfer,INV-00025779
PAY-00000055,144.63,2024-10-06,card,INV-00043084
PAY-00000056,21.53,2025-01-15,card,INV-00024251
PAY-00000057,16.59,2025-02-19,card,INV-00039217
PAY-00000058,42.67,2023-02-21,card,INV-00030717
PAY-00000059,65.95,2022-01-15,bank_transfer,INV-00023517
PAY-00000060,25.68,2025-11-24,paypal,INV-00038108
PAY-00000061,38.9,2022-11-01,card,INV-00016479
PAY-00000062,27.8,2024-12-17,paypal,INV-00027191
PAY-00000063,32.77,2022-03-31,bank_transfer,INV-00034708
PAY-00000064,21.97,2025-12-05,cash,INV-00005833
PAY-00000065,228.16,2022-02-23,card,INV-00028351
PAY-00000066,6.89,2024-11-25,bank_transfer,INV-00031363
PAY-00000067,105.88,2025-09-20,card,INV-00036984
PAY-00000068,46.33,2023-11-27,card,INV-00040243
PAY-00000069,98.22,2024-07-17,card,INV-00009660
PAY-00000070,5.48,2024-07-31,card,INV-00023314
PAY-00000071,43.62,2023-02-17,card,INV-00048611
PAY-00000072,20.01,2022-03-06,bank_transfer,INV-00024889
PAY-00000073,154.81,2022-06-03,card,INV-00042514
PAY-00000074,148.56,2025-01-22,card,INV-00044060
PAY-00000075,26.01,2023-10-11,card,INV-00026374
PAY-00000076,28.88,2023-03-01,card,INV-00006980
PAY-00000077,12.16,2023-01-09,card,INV-00028845
PAY-00000078,34.81,2024-02-25,bank_transfer,INV-00001072
PAY-00000079,90.84,2023-06-15,paypal,INV-00040830
PAY-00000080,264.7,2022-07-22,paypal,INV-00032290
PAY-00000081,178.01,2026-01-27,card,INV-00034724
PAY-00000082,103.08,2022-01-26,paypal,INV-00017642
PAY-00000083,10.44,2023-01-25,card,INV-00030779
PAY-00000084,117.24,2022-03-24,card,INV-00032005
PAY-00000085,50.83,2023-06-08,cash,INV-00032036
PAY-00000086,74.55,2023-11-14,card,INV-00019475
PAY-00000087,66.86,2025-08-14,card,INV-00019377
PAY-00000088,38.69,2025-12-16,bank_transfer,INV-00042316
PAY-00000089,68.11,2022-11-15,card,INV-00032293
PAY-00000090,200.09,2025-09-14,card,INV-00009673
PAY-00000091,147.58,2023-02-16,card,INV-00047686
PAY-00000092,197.16,2024-08-25,card,INV-00039810
PAY-00000093,35.43,2022-08-22,card,INV-00006256
PAY-00000094,19.02,2024-12-22,cash,INV-00019022
PAY-00000095,53.78,2024-08-03,card,INV-00000185
PAY-00000096,105.19,2023-08-01,card,INV-00043962
PAY-00000097,244.83,2025-11-29,card,INV-00026439
PAY-00000098,184.36,2022-03-16,bank_transfer,INV-00010156
PAY-00000099,29.11,2025-08-25,card,INV-00017331
PAY-00000100,53.89,2023-10-06,card,INV-00046642
PAY-00000101,89.67,2022-09-10,bank_transfer,INV-00001599
PAY-00000102,43.01,2023-02-17,card,INV-00020777
PAY-00000103,207.83,2025-09-16,bank_transfer,INV-00016137
PAY-00000104,183.4,2025-03-31,paypal,INV-00036161
PAY-00000105,33.67,2026-01-31,card,INV-00014094
PAY-00000106,132.08,2025-12-05,card,INV-00036068
PAY-00000107,16.9,2022-09-07,card,INV-00007612
PAY-00000108,138.85,2024-07-04,bank_transfer,INV-00016867
PAY-00000109,22.76,2023-04-17,card,INV-00037123
PAY-00000110,12.31,2022-01-19,card,INV-00035975
PAY-00000111,84.16,2022-03-13,bank_transfer,INV-00049040
PAY-00000112,10.34,2025-08-25,cash,INV-00013925
PAY-00000113,55.54,2024-05-10,bank_transfer,INV-00001668
PAY-00000114,147.58,2023-10-11,card,INV-00045190
PAY-00000115,33.15,2024-11-21,card,INV-00047209
PAY-00000116,257.35,2023-08-23,card,INV-00007268
PAY-00000117,61.28,2024-10-05,card,INV-00036479
PAY-00000118,20.36,2026-01-02,paypal,INV-00028906
PAY-00000119,326.16,2023-10-13,paypal,INV-00034749
PAY-00000120,84.73,2022-08-20,paypal,INV-00044000
PAY-00000121,324.48,2023-01-17,card,INV-00009172
PAY-00000122,159.82,2023-06-04,card,INV-00048404
PAY-00000123,184.06,2023-02-03,bank_transfer,INV-00048050
PAY-00000124,71.09,2023-10-17,card,INV-00025143
PAY-00000125,60.63,2022-11-12,card,INV-00015906
PAY-00000126,86.89,2023-05-05,card,INV-00024884
PAY-00000127,16.7,2024-05-04,bank_transfer,INV-00037307
PAY-00000128,51.66,2023-09-04,card,INV-00045137
PAY-00000129,29.98,2023-02-01,paypal,INV-00000779
PAY-00000130,86.34,2022-10-30,card,INV-00012424
PAY-00000131,19.32,2023-11-13,bank_transfer,INV-00008676
PAY-00000132,32.34,2022-02-18,card,INV-00018916
PAY-00000133,576.93,2023-02-18,card,INV-00029850
PAY-00000134,223.01,2023-11-08,card,INV-00049411
PAY-00000135,28.11,2024-05-05,cash,INV-00019846
PAY-00000136,24.37,2023-09-15,bank_transfer,INV-00042097
PAY-00000137,37.98,2023-03-29,card,INV-00000831
PAY-00000138,80.82,2023-10-13,bank_transfer,INV-00007874
PAY-00000139,44.94,2023-11-18,paypal,INV-00010234
PAY-00000140,43.21,2025-05-23,card,INV-00007805
PAY-00000141,109.45,2022-09-19,card,INV-00047998
PAY-00000142,21.06,2022-04-10,bank_transfer,INV-00030584
PAY-00000143,233.84,2023-05-25,card,INV-00039805
PAY-00000144,56.25,2025-02-17,paypal,INV-00009575
PAY-00000145,74.61,2025-05-27,bank_transfer,INV-00041981
PAY-00000146,48.73,2023-01-04,bank_transfer,INV-00011252
PAY-00000147,65.52,2025-05-04,bank_transfer,INV-00033140
PAY-00000148,235.3,2022-03-26,card,INV-00029841
PAY-00000149,70.74,2025-03-10,bank_transfer,INV-00023667
PAY-00000150,47.18,2023-12-31,card,INV-00025968
PAY-00000151,79.4,2025-03-06,card,INV-00034840
PAY-00000152,118.36,2025-06-06,bank_transfer,INV-00003452
PAY-00000153,243.83,2024-01-03,cash,INV-00011104
PAY-00000154,9.15,2023-12-22,bank_transfer,INV-00049916
PAY-00000155,25.18,2024-08-09,bank_transfer,INV-00027958
PAY-00000156,96.07,2022-04-22,card,INV-00003787
PAY-00000157,31.44,2023-07-23,cash,INV-00046333
PAY-00000158,1081.29,2022-01-18,bank_transfer,INV-00040158
PAY-00000159,219.46,2025-10-19,card,INV-00010936
PAY-00000160,35.53,2022-07-11,card,INV-00034766
PAY-00000161,5.77,2022-01-21,card,INV-00048805
PAY-00000162,61.25,2025-03-13,bank_transfer,INV-00000616
PAY-00000163,84.38,2022-08-05,card,INV-00000333
PAY-00000164,52.53,2023-05-27,card,INV-00035488
PAY-00000165,51.83,2025-11-19,bank_transfer,INV-00035506
PAY-00000166,50.0,2024-03-24,bank_transfer,INV-00022519
PAY-00000167,64.87,2023-02-21,paypal,INV-00036360
PAY-00000168,51.23,2022-01-23,bank_transfer,INV-00021150
PAY-00000169,16.44,2023-03-30,card,INV-00001881
PAY-00000170,44.67,2025-04-30,card,INV-00006715
PAY-00000171,72.46,2023-10-22,card,INV-00013061
PAY-00000172,57.85,2023-04-20,card,INV-00026185
PAY-00000173,220.9,2024-08-20,card,INV-00017984
PAY-00000174,30.73,2023-04-28,bank_transfer,INV-00027733
PAY-00000175,68.8,2024-07-30,bank_transfer,INV-00043105
PAY-00000176,86.49,2025-08-26,bank_transfer,INV-00028565
PAY-00000177,30.4,2024-09-21,card,INV-00018216
PAY-00000178,337.94,2024-11-15,card,INV-00042905
