subscription_id,status,start_date,end_date,customer_id,product_id
SUB-0000001,active,2024-10-15,2026-05-14,CUS-0006082,PRD-00154
SUB-0000002,cancelled,2023-12-22,2025-03-04,CUS-0001818,PRD-00158
SUB-0000003,active,2021-02-27,2025-01-25,CUS-0004408,PRD-00064
SUB-0000004,active,2020-10-02,2025-05-23,CUS-0005220,PRD-00112
SUB-0000005,paused,2021-06-11,2024-04-10,CUS-0008108,PRD-00123
SUB-0000006,active,2024-01-02,2025-12-17,CUS-0004115,PRD-00053
SUB-0000007,active,2021-05-02,2024-08-05,CUS-0000547,PRD-00040
SUB-0000008,active,2020-10-25,2027-02-17,CUS-0007165,PRD-00115
SUB-0000009,active,2024-12-11,2026-03-15,CUS-0009626,PRD-00109
SUB-0000010,active,2022-04-06,2026-11-13,CUS-0007620,PRD-00068
SUB-0000011,active,2020-10-31,2024-03-13,CUS-0006997,PRD-00156
SUB-0000012,active,2022-12-12,2025-06-04,CUS-0002615,PRD-00064
SUB-0000013,active,2022-04-24,2027-08-19,CUS-0008784,PRD-00120
SUB-0000014,cancelled,2024-06-18,2026-12-19,CUS-0005540,PRD-00128
SUB-0000015,active,2022-01-31,2026-07-18,CUS-0001272,PRD-00081
SUB-0000016,cancelled,2023-10-07,2026-08-19,CUS-0002857,PRD-00131
SUB-0000017,paused,2021-11-21,2027-05-09,CUS-0006411,PRD-00149
SUB-0000018,active,2023-10-05,2027-12-26,CUS-0009357,PRD-00026
SUB-0000019,active,2022-06-05,2024-01-18,CUS-0000236,PRD-00033
SUB-0000020,active,2024-01-08,2026-03-20,CUS-0002010,PRD-00076
SUB-0000021,active,2023-08-25,2027-01-02,CUS-0004461,PRD-00155
SUB-0000022,active,2022-07-18,2027-05-27,CUS-0009631,PRD-00114
SUB-0000023,cancelled,2022-06-23,2027-03-26,CUS-0002908,PRD-00009
SUB-0000024,active,2021-09-09,2025-03-17,CUS-0005909,PRD-00125
SUB-0000025,active,2025-05-24,2027-07-08,CUS-0005466,PRD-00083
SUB-0000026,cancelled,2024-02-22,2025-03-17,CUS-0004074,PRD-00052
SUB-0000027,active,2022-11-15,2025-10-20,CUS-0009423,PRD-00188
SUB-0000028,active,2022-07-08,2024-06-28,CUS-0001603,PRD-00076
SUB-0000029,active,2024-12-03,2024-02-19,CUS-0005963,PRD-00004
SUB-0000030,active,2024-04-09,2027-12-05,CUS-0001668,PRD-00195
SUB-0000031,active,2024-08-16,2027-12-01,CUS-0004409,PRD-00169
SUB-0000032,active,2025-04-23,2025-05-07,CUS-0008155,PRD-00085
SUB-0000033,active,2022-12-27,2025-03-25,CUS-0009367,PRD-00084
SUB-0000034,active,2025-05-18,2026-12-09,CUS-0000475,PRD-00056
SUB-0000035,active,2024-03-23,2025-10-02,CUS-0008221,PRD-00124
SUB-0000036,active,2021-10-12,2025-09-16,CUS-0005026,PRD-00179
SUB-0000037,active,2022-12-21,2027-03-19,CUS-0000653,PRD-00070
SUB-0000038,active,2022-01-10,2025-07-25,CUS-0008933,PRD-00020
SUB-0000039,active,2023-10-08,2024-08-27,CUS-0005892,PRD-00155
SUB-0000040,cancelled,2024-08-01,2026-10-07,CUS-0008962,PRD-00053
SUB-0000041,cancelled,2023-09-18,2027-07-14,CUS-0005198,PRD-00163
SUB-0000042,active,2021-06-16,2026-12-11,CUS-0003367,PRD-00053
SUB-0000043,paused,2024-04-01,2027-12-24,CUS-0006435,PRD-00126
SUB-0000044,paused,2024-07-16,2024-07-06,CUS-0009149,PRD-00096
SUB-0000045,active,2020-10-21,2026-03-31,CUS-0004665,PRD-00060
SUB-0000046,active,2023-08-29,2026-09-07,CUS-0006095,PRD-00023
