account_id,name,industry,country,annual_revenue,employees,created_at
ACC-0000001,Patagonia Group,services,ES,342518.86,3,2018-12-02 14:00:10
ACC-0000002,Rio SpA,energy,BR,710384.81,73,2020-09-21 21:59:21
ACC-0000003,Litio Foods,tech,BR,1295021.77,354,2021-06-11 22:57:54
ACC-0000004,Norte Mining,energy,AR,195949.54,10,2025-09-21 12:05:37
ACC-0000005,Atacama Industries,services,CO,235139.09,81,2020-01-14 22:51:10
ACC-0000006,Andes Industries,manufacturing,ES,306898.43,2,2021-03-02 13:16:43
ACC-0000007,Litio Labs,health,BR,224021.33,105,2024-10-16 07:47:26
ACC-0000008,Lumen Logistics,manufacturing,CL,417846.21,32,2021-05-23 08:26:58
ACC-0000009,Nova Retail,energy,ES,221399.02,60,2024-06-11 16:36:50
ACC-0000010,Maipo Tech,energy,CL,1341907.1,57,2020-08-11 01:01:50
ACC-0000011,Bio Networks,health,AR,214948.86,104,2021-06-25 13:41:19
ACC-0000012,Patagonia Energy,retail,AR,717512.35,385,2023-01-29 22:53:36
ACC-0000013,Cobre Networks,manufacturing,CL,92345.65,119,2019-06-14 10:05:34
ACC-0000014,Lumen SpA,retail,CL,558909.3,301,2024-08-08 03:43:06
ACC-0000015,Atacama Industries,services,BR,455834.25,15,2025-04-23 17:59:04
ACC-0000016,Cobalto Capital,tech,US,854230.95,433,2024-11-28 06:16:34
ACC-0000017,Salmon Pharma,education,MX,4705382.5,56,2024-08-02 20:38:00
ACC-0000018,Inca Partners,education,CL,1219613.45,237,2021-04-15 14:44:48
ACC-0000019,Atacama Labs,manufacturing,CO,530534.88,27,2021-10-27 02:39:40
ACC-0000020,Inca Industries,tech,BR,308576.83,44,2025-09-16 00:29:15
ACC-0000021,Norte Bank,tech,CL,673318.95,40,2022-05-03 00:05:22
ACC-0000022,Lumen Foods,finance,CL,137208.14,17,2025-05-24 11:10:05
ACC-0000023,Atacama Capital,manufacturing,US,123156.2,47,2021-03-02 22:48:37
ACC-0000024,Global Partners,retail,MX,871999.28,343,2019-04-19 13:39:54
ACC-0000025,Aurora Networks,finance,CL,1217784.27,42,2020-11-10 21:22:53
ACC-0000026,Selva Logistics,finance,CL,721743.31,26,2018-09-23 01:11:27
ACC-0000027,Prima Solutions,manufacturing,ES,674817.2,149,2024-07-16 00:03:02
ACC-0000028,Lumen Solutions,retail,US,213237.19,37,2019-06-01 21:44:32
ACC-0000029,Patagonia Bank,retail,MX,707091.15,7,2018-03-19 12:00:16
ACC-0000030,Vertex Partners,health,ES,1147258.04,138,2019-11-06 15:32:34
ACC-0000031,Maya Group,education,CO,47917.74,130,2023-11-25 05:16:15
ACC-0000032,Salmon Tech,retail,CL,288038.4,58,2018-01-25 19:03:25
ACC-0000033,Maya Bank,tech,CO,506106.09,607,2025-01-03 19:51:57
ACC-0000034,Global Tech,retail,CL,269254.83,56,2020-12-02 09:33:07
ACC-0000035,Nova Holdings,education,CO,1360008.83,402,2024-06-01 22:10:25
ACC-0000036,Litio S.A.,health,ES,205506.7,140,2021-11-04 20:58:20
ACC-0000037,Vino Bank,tech,CL,176256.54,70,2023-02-03 20:21:56
ACC-0000038,Cobalto Cloud,retail,MX,162329.91,16,2019-01-03 04:02:32
ACC-0000039,Rio Solutions,education,AR,179803.9,69,2020-10-07 09:13:52
ACC-0000040,Maya Pharma,education,ES,395181.43,97,2023-06-11 23:55:29
ACC-0000041,Trigo Capital,tech,CL,209033.95,54,2020-12-30 06:02:32
ACC-0000042,Maya Foods,education,CO,1424729.54,30,2025-05-21 19:51:45
ACC-0000043,Sur Networks,finance,AR,268948.88,26,2023-01-31 10:49:44
ACC-0000044,Maipo Labs,retail,CL,194612.88,93,2022-08-20 09:17:01
ACC-0000045,Cobalto Capital,finance,CO,1133986.91,109,2023-10-23 20:16:55
ACC-0000046,Andes Cloud,health,AR,568571.88,17,2023-07-05 22:35:09
ACC-0000047,Bio Bank,energy,CL,2729701.9,55,2025-04-15 06:59:06
ACC-0000048,Aurora Pharma,finance,PE,241602.09,42,2021-10-06 18:35:05
ACC-0000049,Lumen Holdings,energy,PE,3363517.24,183,2018-10-23 08:32:11
ACC-0000050,Tropic Logistics,manufacturing,CL,79988.49,9,2025-06-24 23:17:03
ACC-0000051,Solar Foods,health,US,606090.24,12,2021-04-21 17:30:51
ACC-0000052,Lumen Foods,education,CL,628021.1,16,2024-12-28 22:21:51
