activity_id,type,subject,occurred_at,contact_id,opportunity_id
ACT-00000001,note,Activity 00000001,2025-09-02 09:59:39,,OPP-0001007
ACT-00000002,email,Activity 00000002,2025-09-22 22:05:00,,
ACT-00000003,call,Activity 00000003,2025-07-28 12:54:14,CON-0009655,OPP-0001066
ACT-00000004,call,Activity 00000004,2023-05-31 13:55:19,CON-0012508,OPP-0002889
ACT-00000005,email,Activity 00000005,2023-12-13 04:06:56,CON-0005585,OPP-0002958
ACT-00000006,note,Activity 00000006,2025-01-01 22:59:43,CON-0008533,OPP-0001362
ACT-00000007,call,Activity 00000007,2025-05-29 23:00:58,CON-0004976,OPP-0000776
ACT-00000008,demo,Activity 00000008,2024-03-17 13:58:39,,OPP-0000917
ACT-00000009,call,Activity 00000009,2023-04-09 08:30:08,,OPP-0002492
ACT-00000010,call,Activity 00000010,2023-09-09 02:20:16,CON-0004491,
ACT-00000011,call,Activity 00000011,2023-10-03 18:06:03,,
ACT-00000012,email,Activity 00000012,2023-11-04 10:52:43,CON-0003354,OPP-0000534
ACT-00000013,call,Activity 00000013,2023-02-10 06:19:28,CON-0010421,
ACT-00000014,call,Activity 00000014,2023-11-26 03:50:33,CON-0006184,OPP-0002064
ACT-00000015,note,Activity 00000015,2024-12-03 07:26:03,,OPP-0002647
ACT-00000016,email,Activity 00000016,2025-10-28 11:01:34,CON-0014073,
ACT-00000017,meeting,Activity 00000017,2023-11-27 15:50:11,CON-0012783,OPP-0001735
ACT-00000018,meeting,Activity 00000018,2025-06-21 17:32:02,CON-0000318,
ACT-00000019,meeting,Activity 00000019,2023-05-20 04:52:00,CON-0012734,OPP-0002531
ACT-00000020,email,Activity 00000020,2025-04-29 06:31:07,,
ACT-00000021,call,Activity 00000021,2025-09-09 09:34:51,CON-0004971,
ACT-00000022,call,Activity 00000022,2024-11-14 14:30:18,,OPP-0002299
ACT-00000023,email,Activity 00000023,2023-09-20 05:15:53,CON-0011346,
ACT-00000024,meeting,Activity 00000024,2025-04-21 05:00:53,,OPP-0001932
ACT-00000025,meeting,Activity 00000025,2023-05-29 15:18:50,CON-0006332,
ACT-00000026,email,Activity 00000026,2024-02-08 21:15:55,,
ACT-00000027,email,Activity 00000027,2023-06-30 14:16:30,CON-0003316,OPP-0001895
ACT-00000028,call,Activity 00000028,2025-04-16 22:14:26,CON-0003171,
ACT-00000029,call,Activity 00000029,2024-05-05 09:25:30,CON-0003455,OPP-0000201
ACT-00000030,call,Activity 00000030,2025-11-01 08:23:34,CON-0007149,
ACT-00000031,email,Activity 00000031,2025-10-22 14:34:19,,OPP-0002454
ACT-00000032,meeting,Activity 00000032,2025-01-09 00:04:32,CON-0001222,
ACT-00000033,meeting,Activity 00000033,2024-07-06 02:51:57,CON-0003710,OPP-0001858
ACT-00000034,meeting,Activity 00000034,2025-09-20 05:39:10,,
ACT-00000035,note,Activity 00000035,2024-05-22 21:37:57,,
ACT-00000036,demo,Activity 00000036,2024-05-13 19:47:24,CON-0007861,
ACT-00000037,note,Activity 00000037,2023-01-08 19:07:54,CON-0008262,
ACT-00000038,call,Activity 00000038,2023-11-12 05:54:34,,
ACT-00000039,call,Activity 00000039,2024-11-04 16:55:28,,
ACT-00000040,email,Activity 00000040,2024-04-26 03:30:33,CON-0001685,
ACT-00000041,email,Activity 00000041,2023-07-02 16:34:04,CON-0006052,
ACT-00000042,note,Activity 00000042,2023-10-23 23:39:24,,
ACT-00000043,email,Activity 00000043,2024-01-08 13:24:23,CON-0010969,
ACT-00000044,note,Activity 00000044,2024-08-23 16:24:34,,
ACT-00000045,call,Activity 00000045,2023-03-19 19:25:29,CON-0009784,OPP-0000484
ACT-00000046,demo,Activity 00000046,2025-08-21 12:42:32,,
ACT-00000047,email,Activity 00000047,2024-06-06 05:59:25,,OPP-0001434
ACT-00000048,meeting,Activity 00000048,2023-01-11 23:06:14,CON-0008502,
ACT-00000049,email,Activity 00000049,2025-04-23 21:07:00,CON-0002204,OPP-0001611
ACT-00000050,email,Activity 00000050,2023-03-30 05:08:36,CON-0002764,
ACT-00000051,call,Activity 00000051,2025-02-06 16:53:55,,OPP-0001947
ACT-00000052,email,Activity 00000052,2025-07-07 17:08:57,,OPP-0002957
ACT-00000053,call,Activity 00000053,2024-08-09 05:27:37,CON-0005786,OPP-0001410
ACT-00000054,meeting,Activity 00000054,2025-12-18 20:50:05,CON-0014104,OPP-0000020
ACT-00000055,note,Activity 00000055,2023-04-04 06:17:00,CON-0008845,OPP-0002806
ACT-00000056,email,Activity 00000056,2024-08-25 20:21:42,,
ACT-00000057,call,Activity 00000057,2024-03-30 08:25:51,,
ACT-00000058,call,Activity 00000058,2024-07-29 16:25:13,,
ACT-00000059,email,Activity 00000059,2025-05-03 17:17:29,CON-0014765,
ACT-00000060,meeting,Activity 00000060,2023-09-01 04:16:16,CON-0002586,
ACT-00000061,email,Activity 00000061,2023-11-09 08:21:00,CON-0012227,
ACT-00000062,note,Activity 00000062,2025-07-23 18:12:53,CON-0013386,OPP-0001632
ACT-00000063,email,Activity 00000063,2023-12-03 09:54:21,,
ACT-00000064,call,Activity 00000064,2024-01-28 08:16:04,CON-0003791,OPP-0000846
ACT-00000065,note,Activity 00000065,2023-09-04 00:13:46,CON-0008296,OPP-0002224
ACT-00000066,demo,Activity 00000066,2025-07-12 03:31:52,CON-0004706,OPP-0002660
ACT-00000067,call,Activity 00000067,2024-10-08 18:23:32,CON-0001351,OPP-0002701
ACT-00000068,call,Activity 00000068,2023-12-24 16:17:44,CON-0005080,OPP-0001498
ACT-00000069,email,Activity 00000069,2024-07-31 16:43:36,CON-0005145,
ACT-00000070,demo,Activity 00000070,2024-02-01 23:32:36,CON-0012354,
ACT-00000071,email,Activity 00000071,2025-06-13 07:04:45,,
ACT-00000072,meeting,Activity 00000072,2025-11-13 16:04:57,,
ACT-00000073,email,Activity 00000073,2025-01-10 06:04:03,,OPP-0002948
ACT-00000074,call,Activity 00000074,2024-09-18 04:19:42,CON-0014100,OPP-0001265
ACT-00000075,call,Activity 00000075,2023-04-15 18:40:57,CON-0000829,
ACT-00000076,call,Activity 00000076,2024-12-08 00:26:23,,
ACT-00000077,email,Activity 00000077,2024-06-07 19:06:58,CON-0004645,
ACT-00000078,call,Activity 00000078,2024-04-15 18:07:27,,
ACT-00000079,call,Activity 00000079,2023-05-21 20:34:01,CON-0008969,
ACT-00000080,demo,Activity 00000080,2024-02-06 12:47:52,CON-0004495,
ACT-00000081,note,Activity 00000081,2025-08-29 03:12:15,CON-0009744,OPP-0002920
ACT-00000082,call,Activity 00000082,2024-03-14 22:49:27,CON-0001242,OPP-0002892
ACT-00000083,email,Activity 00000083,2023-02-25 17:17:00,CON-0012114,
ACT-00000084,email,Activity 00000084,2025-10-18 21:42:55,,
ACT-00000085,note,Activity 00000085,2024-07-16 15:53:31,CON-0005219,
ACT-00000086,email,Activity 00000086,2025-04-22 19:33:39,CON-0012559,OPP-0002569
ACT-00000087,call,Activity 00000087,2023-04-11 00:26:33,,
ACT-00000088,meeting,Activity 00000088,2024-04-28 22:44:23,CON-0006419,OPP-0002898
ACT-00000089,call,Activity 00000089,2025-05-22 09:06:51,CON-0008667,OPP-0001125
ACT-00000090,call,Activity 00000090,2025-01-20 17:58:52,CON-0003230,
ACT-00000091,email,Activity 00000091,2024-07-27 05:27:59,CON-0007743,OPP-0000641
ACT-00000092,demo,Activity 00000092,2024-11-07 16:53:15,CON-0001342,OPP-0001961
ACT-00000093,demo,Activity 00000093,2024-09-09 18:26:57,CON-0012415,OPP-0001325
ACT-00000094,email,Activity 00000094,2023-11-02 09:07:00,CON-0013308,OPP-0002849
ACT-00000095,call,Activity 00000095,2025-02-23 17:17:20,CON-0010070,OPP-0000197
ACT-00000096,meeting,Activity 00000096,2025-11-22 22:31:04,CON-0003408,OPP-0001055
ACT-00000097,call,Activity 00000097,2025-05-01 03:54:03,CON-0012487,
ACT-00000098,call,Activity 00000098,2025-06-28 11:38:03,CON-0001087,
ACT-00000099,meeting,Activity 00000099,2025-01-23 12:04:42,CON-0009709,OPP-0001875
ACT-00000100,demo,Activity 00000100,2024-03-16 23:45:02,CON-0013330,OPP-0000883
ACT-00000101,meeting,Activity 00000101,2025-04-24 20:47:07,CON-0009953,OPP-0000338
ACT-00000102,call,Activity 00000102,2024-11-03 02:27:33,CON-0009001,OPP-0001495
ACT-00000103,call,Activity 00000103,2023-02-28 22:15:14,,OPP-0002447
ACT-00000104,email,Activity 00000104,2025-04-21 04:34:46,,OPP-0002655
ACT-00000105,note,Activity 00000105,2025-08-29 21:53:12,CON-0007457,
ACT-00000106,call,Activity 00000106,2025-06-23 10:03:38,,
ACT-00000107,call,Activity 00000107,2024-12-09 07:19:57,CON-0005778,
ACT-00000108,call,Activity 00000108,2024-02-23 08:09:07,,
ACT-00000109,call,Activity 00000109,2025-11-15 00:50:06,CON-0003809,
ACT-00000110,email,Activity 00000110,2025-04-25 12:36:53,CON-0014372,OPP-0002131
ACT-00000111,email,Activity 00000111,2024-08-02 23:54:35,CON-0002324,OPP-0001677
ACT-00000112,note,Activity 00000112,2024-06-10 08:55:08,CON-0013559,OPP-0001534
ACT-00000113,note,Activity 00000113,2025-10-22 02:21:55,CON-0014212,
ACT-00000114,call,Activity 00000114,2025-05-16 13:03:46,CON-0003367,
ACT-00000115,note,Activity 00000115,2025-09-18 09:11:59,CON-0006176,
ACT-00000116,demo,Activity 00000116,2024-07-15 12:13:04,,
ACT-00000117,meeting,Activity 00000117,2024-05-26 03:45:54,CON-0010653,OPP-0000070
ACT-00000118,email,Activity 00000118,2023-12-27 02:05:18,CON-0004188,
ACT-00000119,email,Activity 00000119,2024-06-02 07:09:06,,OPP-0000518
ACT-00000120,email,Activity 00000120,2024-05-26 18:11:00,CON-0010359,
ACT-00000121,note,Activity 00000121,2023-02-08 19:07:45,CON-0005928,OPP-0001284
ACT-00000122,email,Activity 00000122,2025-03-06 08:17:09,CON-0003913,
ACT-00000123,email,Activity 00000123,2024-01-16 17:11:09,CON-0005098,
ACT-00000124,email,Activity 00000124,2024-06-16 14:29:56,,
ACT-00000125,email,Activity 00000125,2025-12-11 20:34:45,CON-0005515,
ACT-00000126,email,Activity 00000126,2024-10-13 19:34:37,CON-0012687,
ACT-00000127,call,Activity 00000127,2023-03-29 19:27:56,CON-0007106,
ACT-00000128,email,Activity 00000128,2025-05-01 17:00:02,CON-0009116,OPP-0002088
ACT-00000129,email,Activity 00000129,2024-12-01 11:18:04,,OPP-0001802
ACT-00000130,call,Activity 00000130,2023-09-12 04:57:16,CON-0002063,
ACT-00000131,note,Activity 00000131,2024-10-26 00:37:01,CON-0006065,
ACT-00000132,email,Activity 00000132,2024-08-08 17:28:00,CON-0001543,OPP-0001266
ACT-00000133,email,Activity 00000133,2024-02-29 22:12:53,CON-0002458,OPP-0002786
ACT-00000134,call,Activity 00000134,2025-08-13 15:42:42,CON-0007928,
ACT-00000135,note,Activity 00000135,2025-02-01 18:42:10,CON-0001942,
ACT-00000136,email,Activity 00000136,2024-10-03 15:04:19,CON-0003276,OPP-0000917
ACT-00000137,email,Activity 00000137,2024-12-07 07:36:56,CON-0002899,OPP-0000873
ACT-00000138,call,Activity 00000138,2024-07-24 10:16:00,CON-0014319,
ACT-00000139,email,Activity 00000139,2025-06-18 23:49:06,CON-0008772,
ACT-00000140,meeting,Activity 00000140,2024-06-23 19:59:17,,
ACT-00000141,email,Activity 00000141,2024-02-20 03:39:27,,OPP-0001363
ACT-00000142,call,Activity 00000142,2025-05-06 21:05:38,CON-0001389,
ACT-00000143,demo,Activity 00000143,2025-05-22 04:03:57,,OPP-0001191
ACT-00000144,email,Activity 00000144,2025-01-10 17:29:43,,
ACT-00000145,meeting,Activity 00000145,2025-01-20 20:13:28,,OPP-0002152
ACT-00000146,email,Activity 00000146,2023-03-05 12:33:17,CON-0004279,
ACT-00000147,demo,Activity 00000147,2024-01-04 06:19:38,CON-0002256,
ACT-00000148,email,Activity 00000148,2024-02-08 22:09:07,CON-0007305,
ACT-00000149,call,Activity 00000149,2025-01-17 07:18:44,CON-0004918,
ACT-00000150,email,Activity 00000150,2025-07-27 16:03:49,CON-0005856,
ACT-00000151,note,Activity 00000151,2024-01-20 15:00:59,CON-0008325,OPP-0000430
ACT-00000152,call,Activity 00000152,2024-07-22 07:05:33,CON-0001220,OPP-0000667
ACT-00000153,email,Activity 00000153,2025-10-04 08:56:44,,
ACT-00000154,meeting,Activity 00000154,2024-05-21 20:28:37,CON-0012969,OPP-0001814
ACT-00000155,demo,Activity 00000155,2023-10-22 12:36:30,CON-0003099,
ACT-00000156,email,Activity 00000156,2023-06-09 09:07:16,CON-0012460,OPP-0001697
ACT-00000157,email,Activity 00000157,2025-06-18 05:55:15,CON-0005988,OPP-0000624
ACT-00000158,note,Activity 00000158,2024-05-20 22:31:32,,
ACT-00000159,call,Activity 00000159,2023-12-05 16:02:19,CON-0000297,
ACT-00000160,email,Activity 00000160,2024-05-17 11:01:06,CON-0006490,OPP-0001497
ACT-00000161,email,Activity 00000161,2024-10-21 07:34:12,,
ACT-00000162,meeting,Activity 00000162,2025-06-15 00:33:06,CON-0002241,
ACT-00000163,email,Activity 00000163,2024-07-22 04:31:39,CON-0002247,OPP-0001070
ACT-00000164,demo,Activity 00000164,2024-04-30 11:37:59,CON-0003852,
ACT-00000165,call,Activity 00000165,2024-02-24 15:13:33,,OPP-0002296
ACT-00000166,call,Activity 00000166,2023-06-26 07:46:11,CON-0012482,OPP-0002022
ACT-00000167,call,Activity 00000167,2025-12-08 23:57:08,CON-0011102,
ACT-00000168,demo,Activity 00000168,2025-11-27 13:26:53,CON-0007179,
ACT-00000169,demo,Activity 00000169,2024-02-19 08:54:33,CON-0009827,
ACT-00000170,call,Activity 00000170,2024-05-16 20:24:00,CON-0012480,OPP-0001797
ACT-00000171,note,Activity 00000171,2023-06-11 20:19:26,CON-0005179,
ACT-00000172,call,Activity 00000172,2025-03-24 09:27:28,CON-0001837,
ACT-00000173,meeting,Activity 00000173,2024-01-02 10:56:58,CON-0006337,OPP-0000230
ACT-00000174,email,Activity 00000174,2024-08-23 20:05:06,CON-0008788,OPP-0000424
ACT-00000175,meeting,Activity 00000175,2024-07-01 13:56:55,CON-0012410,OPP-0002063
ACT-00000176,call,Activity 00000176,2023-02-17 15:22:43,CON-0003459,
ACT-00000177,meeting,Activity 00000177,2023-07-10 04:51:04,CON-0008843,
ACT-00000178,meeting,Activity 00000178,2025-04-21 10:24:45,CON-0004910,OPP-0001698
ACT-00000179,email,Activity 00000179,2024-08-22 05:11:18,CON-0012713,
ACT-00000180,email,Activity 00000180,2023-08-03 00:05:30,CON-0000309,OPP-0000937
ACT-00000181,call,Activity 00000181,2024-10-30 09:41:16,,
ACT-00000182,call,Activity 00000182,2024-11-27 10:57:12,,
ACT-00000183,call,Activity 00000183,2025-10-29 05:37:03,,OPP-0001815
ACT-00000184,email,Activity 00000184,2024-08-10 03:12:15,CON-0011360,OPP-0002403
ACT-00000185,email,Activity 00000185,2024-11-24 20:36:05,CON-0003592,
ACT-00000186,email,Activity 00000186,2025-04-09 21:32:47,,OPP-0000624
ACT-00000187,call,Activity 00000187,2023-10-06 05:22:41,CON-0013321,
ACT-00000188,call,Activity 00000188,2024-04-03 03:51:58,CON-0000443,
ACT-00000189,call,Activity 00000189,2023-01-11 05:19:00,CON-0001114,OPP-0001446
ACT-00000190,call,Activity 00000190,2024-04-16 11:29:28,CON-0007336,
ACT-00000191,demo,Activity 00000191,2023-08-16 11:18:36,CON-0000444,OPP-0000651
ACT-00000192,call,Activity 00000192,2024-12-13 08:11:42,,
ACT-00000193,email,Activity 00000193,2023-07-12 07:06:31,CON-0006548,OPP-0000660
ACT-00000194,call,Activity 00000194,2024-07-05 02:46:13,CON-0004291,OPP-0000450
ACT-00000195,note,Activity 00000195,2025-08-11 01:38:20,CON-0011182,
ACT-00000196,call,Activity 00000196,2024-10-18 15:06:01,CON-0013012,OPP-0001075
ACT-00000197,note,Activity 00000197,2023-09-23 11:01:17,CON-0011102,
ACT-00000198,note,Activity 00000198,2024-06-12 04:10:19,,OPP-0000737
ACT-00000199,call,Activity 00000199,2025-07-08 13:31:54,,
ACT-00000200,demo,Activity 00000200,2024-12-02 04:15:29,CON-0013155,OPP-0002976
ACT-00000201,meeting,Activity 00000201,2025-12-12 10:02:49,CON-0001128,OPP-0000097
