opportunity_id,name,stage,amount,close_date,created_at,account_id
OPP-0000001,Deal 0000001,won,5746.66,2023-11-30,2022-03-19 16:45:26,ACC-0002022
OPP-0000002,Deal 0000002,negotiation,24990.51,2023-09-28,2025-05-25 03:05:15,ACC-0000582
OPP-0000003,Deal 0000003,qualification,11892.82,2024-07-02,2023-12-23 16:49:50,ACC-0002591
OPP-0000004,Deal 0000004,proposal,31211.68,2023-09-19,2023-05-19 04:41:38,ACC-0004529
OPP-0000005,Deal 0000005,proposal,27434.07,2023-08-30,2024-11-30 06:25:22,ACC-0003484
OPP-0000006,Deal 0000006,qualification,163438.38,2023-08-14,2022-06-24 18:55:49,ACC-0004690
OPP-0000007,Deal 0000007,proposal,22761.86,2025-08-08,2024-06-25 12:56:17,ACC-0000209
OPP-0000008,Deal 0000008,qualification,34100.0,2025-08-03,2022-02-20 04:52:11,ACC-0001856
OPP-0000009,Deal 0000009,negotiation,13695.31,2023-08-29,2024-07-08 09:42:27,ACC-0003275
OPP-0000010,Deal 0000010,qualification,43887.44,2026-02-24,2025-09-06 22:26:31,ACC-0002765
OPP-0000011,Deal 0000011,proposal,5205.08,2025-06-01,2024-08-15 14:54:51,ACC-0004890
OPP-0000012,Deal 0000012,prospect,24708.46,2023-03-03,2025-03-09 20:57:04,ACC-0003139
OPP-0000013,Deal 0000013,proposal,8010.86,2023-06-03,2023-10-06 12:46:38,ACC-0000912
OPP-0000014,Deal 0000014,prospect,13327.65,2024-04-11,2024-10-01 16:09:06,ACC-0004158
OPP-0000015,Deal 0000015,won,24100.72,2025-01-15,2023-12-04 14:39:21,ACC-0002958
OPP-0000016,Deal 0000016,prospect,18997.82,2026-02-21,2024-12-15 02:06:47,ACC-0002998
OPP-0000017,Deal 0000017,prospect,10034.83,2023-01-11,2022-01-13 07:41:15,ACC-0001644
OPP-0000018,Deal 0000018,prospect,27871.18,2025-10-07,2025-04-26 13:47:47,ACC-0003060
OPP-0000019,Deal 0000019,proposal,26421.9,2023-09-28,2025-02-13 05:01:50,ACC-0002314
OPP-0000020,Deal 0000020,qualification,53853.44,2024-10-30,2024-08-09 03:08:03,ACC-0003186
OPP-0000021,Deal 0000021,proposal,13983.2,2025-01-15,2023-08-07 01:27:36,ACC-0002375
OPP-0000022,Deal 0000022,won,72362.79,2024-09-16,2022-05-31 15:27:43,ACC-0000086
OPP-0000023,Deal 0000023,lost,103766.91,2023-09-20,2023-06-09 17:06:26,ACC-0004930
OPP-0000024,Deal 0000024,prospect,44830.67,2023-10-03,2024-01-24 23:01:12,ACC-0002486
OPP-0000025,Deal 0000025,lost,16311.54,2023-08-21,2023-10-29 08:42:25,ACC-0003689
OPP-0000026,Deal 0000026,won,175100.73,2025-11-15,2024-11-15 12:24:14,ACC-0003866
OPP-0000027,Deal 0000027,qualification,75561.06,2023-07-29,2022-08-03 23:33:33,ACC-0003374
OPP-0000028,Deal 0000028,negotiation,82688.09,2026-01-16,2022-12-04 12:53:25,ACC-0000498
OPP-0000029,Deal 0000029,prospect,5910.61,2024-11-09,2025-10-14 07:03:20,ACC-0004934
OPP-0000030,Deal 0000030,won,4190.66,2025-05-21,2022-05-22 18:20:43,ACC-0004798
OPP-0000031,Deal 0000031,proposal,44839.13,2026-04-16,2024-06-07 12:42:06,ACC-0000834
OPP-0000032,Deal 0000032,prospect,8927.07,2026-05-04,2022-11-08 00:02:55,ACC-0002446
OPP-0000033,Deal 0000033,lost,16966.22,2024-01-07,2022-05-27 19:14:07,ACC-0004665
