opportunity_id,contact_id,role
OPP-0001114,CON-0013934,decision_maker
OPP-0000426,CON-0013348,decision_maker
OPP-0001010,CON-0014170,influencer
OPP-0000393,CON-0008739,end_user
OPP-0002735,CON-0002228,technical
OPP-0002860,CON-0007570,end_user
OPP-0001104,CON-0005780,influencer
OPP-0001066,CON-0002319,decision_maker
OPP-0002548,CON-0007548,influencer
OPP-0001076,CON-0012494,decision_maker
OPP-0001086,CON-0014899,technical
OPP-0001180,CON-0013424,end_user
OPP-0001284,CON-0000370,financial
OPP-0002907,CON-0001216,financial
OPP-0001850,CON-0009674,end_user
OPP-0002736,CON-0006213,decision_maker
OPP-0000251,CON-0004929,influencer
OPP-0002761,CON-0009268,financial
OPP-0000036,CON-0010591,technical
OPP-0000988,CON-0006879,end_user
OPP-0002751,CON-0005920,technical
OPP-0000128,CON-0014125,influencer
OPP-0002703,CON-0003283,technical
OPP-0002394,CON-0004814,influencer
OPP-0002389,CON-0002219,influencer
OPP-0001303,CON-0004406,technical
OPP-0002018,CON-0000764,end_user
OPP-0002250,CON-0013936,financial
OPP-0000690,CON-0000976,financial
OPP-0000396,CON-0008158,influencer
OPP-0002585,CON-0010543,decision_maker
OPP-0001460,CON-0011928,decision_maker
OPP-0002391,CON-0006559,financial
OPP-0000667,CON-0003557,financial
OPP-0002481,CON-0003326,technical
OPP-0000404,CON-0005741,decision_maker
OPP-0000998,CON-0013459,influencer
OPP-0001432,CON-0009332,technical
OPP-0002060,CON-0001397,influencer
OPP-0001771,CON-0009331,influencer
OPP-0001291,CON-0004945,financial
OPP-0001266,CON-0011750,end_user
OPP-0002550,CON-0012390,financial
OPP-0001274,CON-0014957,financial
OPP-0001136,CON-0013721,end_user
OPP-0001901,CON-0002121,end_user
OPP-0002793,CON-0002119,decision_maker
OPP-0000257,CON-0003676,influencer
OPP-0002149,CON-0004500,technical
OPP-0001173,CON-0000874,decision_maker
OPP-0000131,CON-0008315,technical
OPP-0001308,CON-0003342,decision_maker
OPP-0000805,CON-0010854,decision_maker
OPP-0001892,CON-0002993,technical
OPP-0000976,CON-0000915,financial
OPP-0000526,CON-0000045,decision_maker
OPP-0001353,CON-0000815,technical
OPP-0002105,CON-0004655,financial
OPP-0000606,CON-0004551,decision_maker
OPP-0001511,CON-0001123,technical
OPP-0001557,CON-0002499,decision_maker
OPP-0001647,CON-0000269,decision_maker
OPP-0001232,CON-0005400,financial
OPP-0001562,CON-0003779,technical
OPP-0002327,CON-0013976,technical
OPP-0002577,CON-0005374,end_user
