enrollment_id,enrolled_at,status,student_id,course_id,semester_id
ENR-00000001,2022-03-25,completed,STU-0003502,CRS-00096,SEM-004
ENR-00000002,2025-03-05,completed,STU-0002979,CRS-00205,SEM-003
ENR-00000003,2024-07-12,completed,STU-0003489,CRS-00056,SEM-002
ENR-00000004,2023-06-21,completed,STU-0003134,CRS-00112,SEM-004
ENR-00000005,2023-07-24,dropped,STU-0001017,CRS-00284,SEM-006
ENR-00000006,2022-07-21,completed,STU-0000013,CRS-00100,SEM-007
ENR-00000007,2022-09-09,completed,STU-0004643,CRS-00161,SEM-007
ENR-00000008,2024-05-20,completed,STU-0003577,CRS-00096,SEM-006
ENR-00000009,2025-10-22,completed,STU-0001850,CRS-00062,SEM-008
ENR-00000010,2022-04-15,completed,STU-0004283,CRS-00242,SEM-006
ENR-00000011,2023-01-23,completed,STU-0003831,CRS-00215,SEM-001
ENR-00000012,2022-11-21,completed,STU-0000941,CRS-00293,SEM-008
ENR-00000013,2022-08-02,completed,STU-0002756,CRS-00121,SEM-006
ENR-00000014,2025-11-22,active,STU-0004815,CRS-00297,SEM-008
ENR-00000015,2025-03-24,completed,STU-0000745,CRS-00290,SEM-005
ENR-00000016,2022-08-16,completed,STU-0004142,CRS-00200,SEM-005
ENR-00000017,2022-06-29,failed,STU-0000197,CRS-00027,SEM-007
ENR-00000018,2023-08-26,completed,STU-0001238,CRS-00125,SEM-007
ENR-00000019,2022-01-21,active,STU-0003651,CRS-00251,SEM-003
ENR-00000020,2023-08-24,dropped,STU-0004063,CRS-00285,SEM-006
ENR-00000021,2023-10-01,completed,STU-0001372,CRS-00153,SEM-002
ENR-00000022,2023-06-02,completed,STU-0002291,CRS-00199,SEM-006
ENR-00000023,2022-01-02,completed,STU-0002374,CRS-00029,SEM-006
ENR-00000024,2022-10-10,completed,STU-0002699,CRS-00145,SEM-001
ENR-00000025,2024-08-24,completed,STU-0004418,CRS-00137,SEM-008
ENR-00000026,2025-11-25,completed,STU-0003831,CRS-00168,SEM-008
ENR-00000027,2025-01-22,completed,STU-0001012,CRS-00221,SEM-002
ENR-00000028,2025-03-14,active,STU-0001415,CRS-00263,SEM-002
ENR-00000029,2022-05-21,completed,STU-0004081,CRS-00220,SEM-001
ENR-00000030,2022-12-28,active,STU-0003065,CRS-00153,SEM-005
ENR-00000031,2025-09-12,completed,STU-0001944,CRS-00066,SEM-002
ENR-00000032,2023-05-03,completed,STU-0003883,CRS-00142,SEM-003
ENR-00000033,2024-04-12,active,STU-0004783,CRS-00083,SEM-004
ENR-00000034,2022-12-12,active,STU-0000041,CRS-00042,SEM-008
ENR-00000035,2025-03-19,dropped,STU-0002254,CRS-00269,SEM-003
ENR-00000036,2024-02-10,completed,STU-0004167,CRS-00189,SEM-005
ENR-00000037,2022-03-23,active,STU-0003966,CRS-00013,SEM-007
ENR-00000038,2024-11-20,completed,STU-0001535,CRS-00172,SEM-003
ENR-00000039,2023-09-24,completed,STU-0000490,CRS-00258,SEM-005
ENR-00000040,2023-11-08,dropped,STU-0000708,CRS-00290,SEM-004
ENR-00000041,2024-05-11,completed,STU-0001131,CRS-00266,SEM-002
ENR-00000042,2023-10-30,active,STU-0000593,CRS-00010,SEM-007
ENR-00000043,2024-10-11,completed,STU-0003027,CRS-00214,SEM-001
ENR-00000044,2022-07-27,completed,STU-0002028,CRS-00007,SEM-002
ENR-00000045,2024-05-26,completed,STU-0001014,CRS-00160,SEM-008
ENR-00000046,2022-06-01,failed,STU-0002077,CRS-00249,SEM-007
ENR-00000047,2024-06-13,active,STU-0004568,CRS-00053,SEM-005
ENR-00000048,2023-02-02,completed,STU-0000308,CRS-00154,SEM-001
ENR-00000049,2024-08-03,completed,STU-0004215,CRS-00058,SEM-006
ENR-00000050,2024-05-15,active,STU-0000647,CRS-00167,SEM-007
ENR-00000051,2023-04-15,active,STU-0000660,CRS-00199,SEM-007
ENR-00000052,2022-10-23,failed,STU-0003299,CRS-00215,SEM-001
