grade_id,assessment,score,weight,graded_at,enrollment_id
GRD-00000001,project,96.92,0.48,2024-10-15,ENR-00002100
GRD-00000002,project,71.84,0.26,2025-05-20,ENR-00005987
GRD-00000003,homework,76.6,0.27,2025-01-09,ENR-00017245
GRD-00000004,quiz,73.4,0.47,2024-12-27,ENR-00009730
GRD-00000005,homework,70.99,0.39,2024-07-11,ENR-00019216
GRD-00000006,final,71.78,0.15,2023-03-17,ENR-00014503
GRD-00000007,homework,84.47,0.37,2023-08-04,ENR-00003147
GRD-00000008,final,78.64,0.13,2023-05-29,ENR-00010957
GRD-00000009,quiz,46.36,0.39,2023-10-13,ENR-00005176
GRD-00000010,homework,74.88,0.18,2024-09-14,ENR-00009835
GRD-00000011,project,90.51,0.42,2022-10-20,ENR-00004299
GRD-00000012,midterm,87.89,0.17,2022-11-17,ENR-00008078
GRD-00000013,final,91.46,0.3,2023-06-15,ENR-00015234
GRD-00000014,quiz,74.66,0.33,2023-08-24,ENR-00008562
GRD-00000015,midterm,82.06,0.26,2024-07-08,ENR-00000788
GRD-00000016,final,81.56,0.31,2025-02-23,ENR-00014282
GRD-00000017,midterm,60.24,0.17,2023-03-23,ENR-00012937
GRD-00000018,quiz,70.2,0.11,2023-03-13,ENR-00012213
GRD-00000019,final,62.79,0.5,2025-03-11,ENR-00021803
GRD-00000020,final,77.95,0.4,2024-03-18,ENR-00020001
GRD-00000021,midterm,75.42,0.24,2022-12-09,ENR-00011370
GRD-00000022,quiz,70.55,0.28,2024-04-05,ENR-00018449
GRD-00000023,quiz,91.85,0.16,2024-10-01,ENR-00020335
GRD-00000024,homework,59.79,0.39,2022-04-02,ENR-00023452
GRD-00000025,midterm,80.0,0.48,2023-12-10,ENR-00007667
GRD-00000026,final,92.12,0.38,2024-11-11,ENR-00013311
GRD-00000027,quiz,74.15,0.49,2024-12-19,ENR-00000559
GRD-00000028,homework,78.68,0.12,2023-12-25,ENR-00000179
GRD-00000029,homework,82.23,0.43,2025-10-29,ENR-00010780
GRD-00000030,final,82.37,0.15,2025-09-24,ENR-00018230
GRD-00000031,project,70.76,0.3,2023-11-10,ENR-00017081
GRD-00000032,quiz,68.3,0.23,2025-06-10,ENR-00009842
GRD-00000033,homework,51.84,0.38,2023-07-17,ENR-00004861
GRD-00000034,quiz,75.65,0.34,2024-12-26,ENR-00000800
GRD-00000035,final,72.28,0.28,2023-05-04,ENR-00018382
GRD-00000036,quiz,98.31,0.16,2023-01-14,ENR-00019857
GRD-00000037,midterm,81.79,0.41,2024-04-23,ENR-00017548
GRD-00000038,midterm,71.45,0.11,2024-08-01,ENR-00020077
GRD-00000039,final,78.5,0.27,2023-07-03,ENR-00011258
GRD-00000040,midterm,70.52,0.45,2025-03-23,ENR-00011085
GRD-00000041,homework,73.11,0.32,2022-10-23,ENR-00005251
GRD-00000042,project,74.54,0.31,2024-10-17,ENR-00008815
GRD-00000043,project,66.43,0.32,2023-10-13,ENR-00016849
GRD-00000044,midterm,71.09,0.18,2022-08-08,ENR-00012358
GRD-00000045,midterm,63.22,0.14,2023-11-24,ENR-00018037
GRD-00000046,quiz,72.52,0.14,2024-04-26,ENR-00016327
GRD-00000047,quiz,89.42,0.14,2022-09-14,ENR-00014028
GRD-00000048,final,82.7,0.37,2023-07-25,ENR-00013148
GRD-00000049,quiz,54.33,0.3,2024-07-06,ENR-00023025
GRD-00000050,final,78.51,0.2,2024-02-05,ENR-00008717
GRD-00000051,midterm,60.83,0.32,2022-11-22,ENR-00015608
GRD-00000052,final,74.25,0.23,2022-12-04,ENR-00021840
GRD-00000053,quiz,71.39,0.49,2023-10-13,ENR-00005857
GRD-00000054,project,61.16,0.41,2022-06-15,ENR-00005054
GRD-00000055,final,54.42,0.44,2023-03-29,ENR-00024158
